"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","import_low","import_upp","MSM_pop","pop2022","cum_icni_prop"
"40","GTM","Guatemala","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-16,NA,NA,116500,17843.908,0
"41","GUM","Guam","Oceania","Micronesia",2022-04-17,0,0,0,0,2022-09-05,2022-09-03,2022-09-08,2799.9162,171.774,0
"42","GUY","Guyana","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-08-15,NA,NA,3300,808.726,0
"43","HKG","Hong Kong","Asia","Eastern Asia",2022-04-17,0,0,0,0,2022-08-30,NA,NA,122068.4995,7488.865,0
"44","HND","Honduras","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-26,NA,NA,40900,10432.86,0
"45","HRV","Croatia","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-06-19,NA,NA,29500,4030.358,0
"46","HUN","Hungary","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-05-26,NA,NA,210310.1988,9967.308,0
"47","IDN","Indonesia","Asia","South-eastern Asia",2022-04-17,0,0,0,0,2022-08-11,NA,NA,754300,275501.339,0
"48","IND","India","Asia","Southern Asia",2022-04-17,0,0,0,0,2022-07-08,2022-07-06,2022-07-11,238200,1417173.173,0
"49","IRL","Ireland","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-05-16,NA,NA,86500,5023.109,0
"50","IRN","Iran","Asia","Southern Asia",2022-04-17,0,0,0,0,2022-08-10,2022-08-08,2022-08-13,313924.554014187,88550.57,0
"51","ISL","Iceland","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-06-07,2022-06-05,2022-06-10,3914.21044817071,372.899,0
"52","ISR","Israel","Asia","Western Asia",2022-04-17,0,0,0,0,2022-05-16,NA,NA,92190.7518,9038.309,0
"53","ITA","Italy","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-05-09,NA,NA,426434.30034556,59037.474,0
"54","JAM","Jamaica","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-03,NA,NA,42400,2827.377,0
"55","JOR","Jordan","Asia","Western Asia",2022-04-17,0,0,0,0,2022-09-02,2022-08-31,2022-09-05,115115.8638,11285.869,0
"56","JPN","Japan","Asia","Eastern Asia",2022-04-17,0,0,0,0,2022-07-15,NA,NA,7e+05,123951.692,0
"57","KOR","Republic of Korea","Asia","Eastern Asia",2022-04-17,0,0,0,0,2022-06-19,NA,NA,520231.319373243,51815.81,0
"58","LBN","Lebanon","Asia","Western Asia",2022-04-17,0,0,0,0,2022-06-06,NA,NA,16500,5489.739,0
"59","LTU","Lithuania","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-07-26,NA,NA,28866.5134903663,2750.055,0
"60","LUX","Luxembourg","Europe","Western Europe",2022-04-17,0,0,0,0,2022-06-05,NA,NA,5885.0710259828,647.599,0
"61","LVA","Latvia","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-05-24,NA,NA,19425.7358698135,1850.651,0
"62","MAF","Saint Martin","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-22,NA,NA,503.836479112461,31.791,0
"63","MAR","Morocco","Africa","Northern Africa",2022-04-17,0,0,0,0,2022-05-26,NA,NA,42000,37457.971,0
"64","MCO","Monaco","Europe","Western Europe",2022-04-17,0,0,0,0,2022-07-15,2022-07-13,2022-07-18,331.412888603235,36.469,0
"65","MDA","Republic of Moldova","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-08-06,NA,NA,14600,3272.996,0
"66","MEX","Mexico","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-05-20,NA,NA,1200000,127504.125,0
"67","MLT","Malta","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-05-15,NA,NA,3851.9846274941,533.286,0
"68","MNE","Montenegro","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-07-26,2022-07-24,2022-07-29,4529.48366200923,627.082,0
"69","MTQ","Martinique","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-09,2022-07-07,2022-07-12,12384.9859,367.507,0
"70","NCL","New Caledonia","Oceania","Melanesia",2022-04-17,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,4726.185,289.95,0
"71","NLD","Netherlands","Europe","Western Europe",2022-04-17,0,0,0,0,2022-04-27,NA,NA,230000,17564.014,0
"72","NOR","Norway","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-05-23,NA,NA,57042.4383237622,5434.319,0
"73","NZL","New Zealand","Oceania","Australia and New Zealand",2022-04-17,0,0,0,0,2022-07-06,NA,NA,37500,5185.288,0
"74","PAN","Panama","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-28,NA,NA,29600,4408.581,0
"75","PER","Peru","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-15,NA,NA,260000,34049.588,0
"76","PHL","Philippines","Asia","South-eastern Asia",2022-04-17,0,0,0,0,2022-07-12,NA,NA,678100,115559.009,0
"77","POL","Poland","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-05-16,NA,NA,840985.7595,39857.145,0
"78","PRI","Puerto Rico","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-23,2022-06-21,2022-06-26,109606.1159,3252.407,0
"79","PRT","Portugal","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-04-22,NA,NA,74187.6105711891,10270.865,0
"80","PRY","Paraguay","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-08-19,2022-08-17,2022-08-22,27700,6780.744,0
"81","QAT","Qatar","Asia","Western Asia",2022-04-17,0,0,0,0,2022-07-09,NA,NA,27490.2444,2695.122,0
"82","ROU","Romania","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-06-02,NA,NA,10500,19659.267,0
"83","RUS","Russia","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,1532011.64928064,144713.314,0
"84","SAU","Saudi Arabia","Asia","Western Asia",2022-04-17,0,0,0,0,2022-07-03,NA,NA,371369.964,36408.82,0
"85","SDN","Sudan","Africa","Northern Africa",2022-04-17,0,0,0,0,2022-07-09,NA,NA,132000,46874.204,0
"86","SGP","Singapore","Asia","South-eastern Asia",2022-04-17,0,0,0,0,2022-06-14,NA,NA,97403.7307,5975.689,0
"87","SLV","El Salvador","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-08-22,NA,NA,54100,6336.392,0
"88","SMR","San Marino","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-09-15,NA,NA,243.129957586457,33.66,0
"89","SRB","Serbia","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-06-03,NA,NA,40000,7221.365,0
"90","SVK","Slovakia","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-06-23,NA,NA,119076.8583,5643.453,0
"91","SVN","Slovenia","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-05-18,NA,NA,15311.8711173472,2119.844,0
"92","SWE","Sweden","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-05-05,NA,NA,1e+05,10549.347,0
"93","THA","Thailand","Asia","South-eastern Asia",2022-04-17,0,0,0,0,2022-07-09,NA,NA,527900,71697.03,0
"94","TUR","Türkiye","Asia","Western Asia",2022-04-17,0,0,0,0,2022-06-25,NA,NA,870480.6582,85341.241,0
"95","TWN","Taiwan, Province of China","Asia","Eastern Asia",2022-04-17,0,0,0,0,2022-06-20,NA,NA,239889.946426095,23893.394,0
"96","UKR","Ukraine","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-08-26,NA,NA,179400,39701.739,0
"97","URY","Uruguay","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-20,NA,NA,28600,3422.794,0
"98","USA","United States of America","Americas","Northern America",2022-04-17,0,0,0,0,2022-04-29,NA,NA,4500000,338289.857,0
"99","VEN","Venezuela (Bolivarian Republic of)","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-05-28,NA,NA,210800,28301.696,0
"100","VNM","Viet Nam","Asia","South-eastern Asia",2022-04-17,0,0,0,0,2022-09-18,NA,NA,256000,98186.856,0
"101","ZAF","South Africa","Africa","Sub-Saharan Africa",2022-04-17,0,0,0,0,2022-06-16,2022-06-14,2022-06-19,309700,59893.885,0
"102","ABW","Aruba","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-09,NA,NA,3587.1965,106.445,0
"103","AND","Andorra","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-06-20,NA,NA,576.577710468845,79.824,0
"104","ARE","United Arab Emirates","Asia","Western Asia",2022-04-18,0,0,0,0,2022-05-12,NA,NA,96299.5158,9441.129,0
"105","ARG","Argentina","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-03,NA,NA,205600,45510.318,0
"106","AUS","Australia","Oceania","Australia and New Zealand",2022-04-18,0,0,0,0,2022-05-08,NA,NA,263500,26177.413,0
"107","AUT","Austria","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-14,NA,NA,81238.97811776,8939.617,0
"108","BEL","Belgium","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-10,NA,NA,105923.535897807,11655.93,0
"109","BEN","Benin","Africa","Sub-Saharan Africa",2022-04-18,0,0,0,0,2022-06-08,2022-06-06,2022-06-11,5800,13352.864,0
"110","BGR","Bulgaria","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-06-10,NA,NA,57800,6781.953,0
"111","BHR","Bahrain","Asia","Western Asia",2022-04-18,0,0,0,0,2022-09-10,2022-09-08,2022-09-13,15016.7766,1472.233,0
"112","BHS","Bahamas","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-18,2022-06-16,2022-06-21,2800,409.984,0
"113","BIH","Bosnia and Herzegovina","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-07-02,NA,NA,6900,3233.526,0
"114","BMU","Bermuda","Americas","Northern America",2022-04-18,0,0,0,0,2022-07-16,NA,NA,718.819322375309,64.184,0
"115","BOL","Bolivia","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-26,2022-07-24,2022-07-29,35500,12224.11,0
"116","BRA","Brazil","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-13,NA,NA,2e+06,215313.498,0
"117","BRB","Barbados","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-04,NA,NA,2600,281.635,0
"118","CAN","Canada","Americas","Northern America",2022-04-18,0,0,0,0,2022-04-28,NA,NA,349800,38454.327,0
"119","CHE","Switzerland","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-13,2022-05-11,2022-05-16,80000,8740.472,0
"120","CHL","Chile","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-02,NA,NA,122600,19603.733,0
"121","CHN","China","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-09-09,NA,NA,23241963.5931,1425887.337,0
"122","COL","Colombia","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-30,NA,NA,356700,51874.024,0
"123","CRI","Costa Rica","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-13,NA,NA,10100,5180.829,0
"124","CUB","Cuba","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-17,NA,NA,279200,11212.191,0
"125","CUW","Curaçao","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-09,NA,NA,3029.62765740541,191.163,0
"126","CYP","Cyprus","Asia","Western Asia",2022-04-18,0,0,0,0,2022-07-26,NA,NA,12765.1776,1251.488,0
"127","CZE","Czechia","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-05-09,NA,NA,111094.883774052,10493.986,0
"128","DEU","Germany","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-02,NA,NA,750000,83369.843,0
"129","DNK","Denmark","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-16,NA,NA,50000,5882.261,0
"130","DOM","Dominican Republic","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-27,NA,NA,142000,11228.821,0
"131","ECU","Ecuador","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-04,NA,NA,89400,18001,0
"132","EGY","Egypt","Africa","Northern Africa",2022-04-18,0,0,0,0,2022-09-01,2022-08-30,2022-09-04,64300,110990.103,0
"133","ESP","Spain","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-04-26,NA,NA,890200,47558.63,0
"134","EST","Estonia","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-06-16,NA,NA,9000,1326.062,0
"135","FIN","Finland","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-15,NA,NA,58159.5605503088,5540.745,0
"136","FRA","France","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-07,NA,NA,330000,64626.628,0
"137","GBR","The United Kingdom","Europe","Northern Europe",2022-04-18,0,1,0,0,2022-04-17,NA,NA,708621.322760554,67508.936,0
"138","GEO","Georgia","Asia","Western Asia",2022-04-18,0,0,0,0,2022-05-29,NA,NA,18500,3744.385,0
"139","GLP","Guadeloupe","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-19,2022-07-17,2022-07-22,13336.8424,395.752,0
"140","GRC","Greece","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-06-02,NA,NA,94000,10384.971,0
"141","GTM","Guatemala","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-16,NA,NA,116500,17843.908,0
"142","GUM","Guam","Oceania","Micronesia",2022-04-18,0,0,0,0,2022-09-05,2022-09-03,2022-09-08,2799.9162,171.774,0
"143","GUY","Guyana","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-15,NA,NA,3300,808.726,0
"144","HKG","Hong Kong","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-08-30,NA,NA,122068.4995,7488.865,0
"145","HND","Honduras","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-26,NA,NA,40900,10432.86,0
"146","HRV","Croatia","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-06-19,NA,NA,29500,4030.358,0
"147","HUN","Hungary","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-05-26,NA,NA,210310.1988,9967.308,0
"148","IDN","Indonesia","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-08-11,NA,NA,754300,275501.339,0
"149","IND","India","Asia","Southern Asia",2022-04-18,0,0,0,0,2022-07-08,2022-07-06,2022-07-11,238200,1417173.173,0
"150","IRL","Ireland","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-16,NA,NA,86500,5023.109,0
"151","IRN","Iran","Asia","Southern Asia",2022-04-18,0,0,0,0,2022-08-10,2022-08-08,2022-08-13,313924.554014187,88550.57,0
"152","ISL","Iceland","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-06-07,2022-06-05,2022-06-10,3914.21044817071,372.899,0
"153","ISR","Israel","Asia","Western Asia",2022-04-18,0,0,0,0,2022-05-16,NA,NA,92190.7518,9038.309,0
"154","ITA","Italy","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-05-09,NA,NA,426434.30034556,59037.474,0
"155","JAM","Jamaica","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-03,NA,NA,42400,2827.377,0
"156","JOR","Jordan","Asia","Western Asia",2022-04-18,0,0,0,0,2022-09-02,2022-08-31,2022-09-05,115115.8638,11285.869,0
"157","JPN","Japan","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-07-15,NA,NA,7e+05,123951.692,0
"158","KOR","Republic of Korea","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-06-19,NA,NA,520231.319373243,51815.81,0
"159","LBN","Lebanon","Asia","Western Asia",2022-04-18,0,0,0,0,2022-06-06,NA,NA,16500,5489.739,0
"160","LTU","Lithuania","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-07-26,NA,NA,28866.5134903663,2750.055,0
"161","LUX","Luxembourg","Europe","Western Europe",2022-04-18,0,0,0,0,2022-06-05,NA,NA,5885.0710259828,647.599,0
"162","LVA","Latvia","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-24,NA,NA,19425.7358698135,1850.651,0
"163","MAF","Saint Martin","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-22,NA,NA,503.836479112461,31.791,0
"164","MAR","Morocco","Africa","Northern Africa",2022-04-18,0,0,0,0,2022-05-26,NA,NA,42000,37457.971,0
"165","MCO","Monaco","Europe","Western Europe",2022-04-18,0,0,0,0,2022-07-15,2022-07-13,2022-07-18,331.412888603235,36.469,0
"166","MDA","Republic of Moldova","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-08-06,NA,NA,14600,3272.996,0
"167","MEX","Mexico","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-20,NA,NA,1200000,127504.125,0
"168","MLT","Malta","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-05-15,NA,NA,3851.9846274941,533.286,0
"169","MNE","Montenegro","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-07-26,2022-07-24,2022-07-29,4529.48366200923,627.082,0
"170","MTQ","Martinique","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-09,2022-07-07,2022-07-12,12384.9859,367.507,0
"171","NCL","New Caledonia","Oceania","Melanesia",2022-04-18,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,4726.185,289.95,0
"172","NLD","Netherlands","Europe","Western Europe",2022-04-18,0,0,0,0,2022-04-27,NA,NA,230000,17564.014,0
"173","NOR","Norway","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-23,NA,NA,57042.4383237622,5434.319,0
"174","NZL","New Zealand","Oceania","Australia and New Zealand",2022-04-18,0,0,0,0,2022-07-06,NA,NA,37500,5185.288,0
"175","PAN","Panama","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-28,NA,NA,29600,4408.581,0
"176","PER","Peru","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-15,NA,NA,260000,34049.588,0
"177","PHL","Philippines","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-07-12,NA,NA,678100,115559.009,0
"178","POL","Poland","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-05-16,NA,NA,840985.7595,39857.145,0
"179","PRI","Puerto Rico","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-23,2022-06-21,2022-06-26,109606.1159,3252.407,0
"180","PRT","Portugal","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-04-22,NA,NA,74187.6105711891,10270.865,0
"181","PRY","Paraguay","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-19,2022-08-17,2022-08-22,27700,6780.744,0
"182","QAT","Qatar","Asia","Western Asia",2022-04-18,0,0,0,0,2022-07-09,NA,NA,27490.2444,2695.122,0
"183","ROU","Romania","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-06-02,NA,NA,10500,19659.267,0
"184","RUS","Russia","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,1532011.64928064,144713.314,0
"185","SAU","Saudi Arabia","Asia","Western Asia",2022-04-18,0,0,0,0,2022-07-03,NA,NA,371369.964,36408.82,0
"186","SDN","Sudan","Africa","Northern Africa",2022-04-18,0,0,0,0,2022-07-09,NA,NA,132000,46874.204,0
"187","SGP","Singapore","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-06-14,NA,NA,97403.7307,5975.689,0
"188","SLV","El Salvador","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-22,NA,NA,54100,6336.392,0
"189","SMR","San Marino","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-09-15,NA,NA,243.129957586457,33.66,0
"190","SRB","Serbia","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-06-03,NA,NA,40000,7221.365,0
"191","SVK","Slovakia","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-06-23,NA,NA,119076.8583,5643.453,0
"192","SVN","Slovenia","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-05-18,NA,NA,15311.8711173472,2119.844,0
"193","SWE","Sweden","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-05,NA,NA,1e+05,10549.347,0
"194","THA","Thailand","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-07-09,NA,NA,527900,71697.03,0
"195","TUR","Türkiye","Asia","Western Asia",2022-04-18,0,0,0,0,2022-06-25,NA,NA,870480.6582,85341.241,0
"196","TWN","Taiwan, Province of China","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-06-20,NA,NA,239889.946426095,23893.394,0
"197","UKR","Ukraine","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-08-26,NA,NA,179400,39701.739,0
"198","URY","Uruguay","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-20,NA,NA,28600,3422.794,0
"199","USA","United States of America","Americas","Northern America",2022-04-18,0,0,0,0,2022-04-29,NA,NA,4500000,338289.857,0
"200","VEN","Venezuela (Bolivarian Republic of)","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-28,NA,NA,210800,28301.696,0
"201","VNM","Viet Nam","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-09-18,NA,NA,256000,98186.856,0
"202","ZAF","South Africa","Africa","Sub-Saharan Africa",2022-04-18,0,0,0,0,2022-06-16,2022-06-14,2022-06-19,309700,59893.885,0
"203","ABW","Aruba","Americas","Latin America and the Caribbean",2022-04-19,0,0,0,0,2022-08-09,NA,NA,3587.1965,106.445,0
"204","AND","Andorra","Europe","Southern Europe",2022-04-19,0,0,0,0,2022-06-20,NA,NA,576.577710468845,79.824,0
"205","ARE","United Arab Emirates","Asia","Western Asia",2022-04-19,0,0,0,0,2022-05-12,NA,NA,96299.5158,9441.129,0
"206","ARG","Argentina","Americas","Latin America and the Caribbean",2022-04-19,0,0,0,0,2022-05-03,NA,NA,205600,45510.318,0
"207","AUS","Australia","Oceania","Australia and New Zealand",2022-04-19,0,0,0,0,2022-05-08,NA,NA,263500,26177.413,0
"208","AUT","Austria","Europe","Western Europe",2022-04-19,0,0,0,0,2022-05-14,NA,NA,81238.97811776,8939.617,0
"209","BEL","Belgium","Europe","Western Europe",2022-04-19,0,0,0,0,2022-05-10,NA,NA,105923.535897807,11655.93,0
