"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","import_low","import_upp","MSM_pop","pop2022","cum_icni_prop"
"59","LUX","Luxembourg","Europe","Western Europe",2022-04-17,0,0,0,0,2022-06-05,NA,NA,5876.59906810905,647.599,0
"60","LVA","Latvia","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-05-24,NA,NA,16636.7904182378,1850.651,0
"61","MAF","Saint Martin","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-22,NA,NA,1071.3567,31.791,0
"62","MAR","Morocco","Africa","Northern Africa",2022-04-17,0,0,0,0,2022-05-26,NA,NA,42000,37457.971,0
"63","MCO","Monaco","Europe","Western Europe",2022-04-17,0,0,0,0,2022-07-15,2022-07-13,2022-07-18,330.935797329627,36.469,0
"64","MDA","Republic of Moldova","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-08-06,NA,NA,14600,3272.996,0
"65","MEX","Mexico","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-05-20,NA,NA,1200000,127504.125,0
"66","MLT","Malta","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-05-15,NA,NA,2953.93460931555,533.286,0
"67","MNE","Montenegro","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-07-26,2022-07-24,2022-07-29,3473.48181403377,627.082,0
"68","MTQ","Martinique","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-09,2022-07-07,2022-07-12,12384.9859,367.507,0
"69","NCL","New Caledonia","Oceania","Melanesia",2022-04-17,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,4726.185,289.95,0
"70","NLD","Netherlands","Europe","Western Europe",2022-04-17,0,0,0,0,2022-04-27,NA,NA,230000,17564.014,0
"71","NOR","Norway","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-05-23,NA,NA,48852.8773220059,5434.319,0
"72","NZL","New Zealand","Oceania","Australia and New Zealand",2022-04-17,0,0,0,0,2022-07-06,NA,NA,37500,5185.288,0
"73","PAN","Panama","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-28,NA,NA,29600,4408.581,0
"74","PER","Peru","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-15,NA,NA,260000,34049.588,0
"75","PHL","Philippines","Asia","South-eastern Asia",2022-04-17,0,0,0,0,2022-07-12,NA,NA,678100,115559.009,0
"76","POL","Poland","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-05-16,NA,NA,840985.7595,39857.145,0
"77","PRI","Puerto Rico","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-06-23,2022-06-21,2022-06-26,109606.1159,3252.407,0
"78","PRT","Portugal","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-04-22,NA,NA,56891.5433578001,10270.865,0
"79","PRY","Paraguay","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-08-19,2022-08-17,2022-08-22,27700,6780.744,0
"80","QAT","Qatar","Asia","Western Asia",2022-04-17,0,0,0,0,2022-07-09,NA,NA,27490.2444,2695.122,0
"81","ROU","Romania","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-06-02,NA,NA,10500,19659.267,0
"82","RUS","Russia","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,3053450.9254,144713.314,0
"83","SAU","Saudi Arabia","Asia","Western Asia",2022-04-17,0,0,0,0,2022-07-03,NA,NA,371369.964,36408.82,0
"84","SDN","Sudan","Africa","Northern Africa",2022-04-17,0,0,0,0,2022-07-09,NA,NA,132000,46874.204,0
"85","SGP","Singapore","Asia","South-eastern Asia",2022-04-17,0,0,0,0,2022-06-14,NA,NA,97403.7307,5975.689,0
"86","SLV","El Salvador","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-08-22,NA,NA,54100,6336.392,0
"87","SMR","San Marino","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-09-15,NA,NA,186.446745179062,33.66,0
"88","SRB","Serbia","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-06-03,NA,NA,40000,7221.365,0
"89","SVK","Slovakia","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-06-23,NA,NA,119076.8583,5643.453,0
"90","SVN","Slovenia","Europe","Southern Europe",2022-04-17,0,0,0,0,2022-05-18,NA,NA,11742.0681547048,2119.844,0
"91","SWE","Sweden","Europe","Northern Europe",2022-04-17,0,0,0,0,2022-05-05,NA,NA,100000,10549.347,0
"92","THA","Thailand","Asia","South-eastern Asia",2022-04-17,0,0,0,0,2022-07-09,NA,NA,527900,71697.03,0
"93","TUR","Türkiye","Asia","Western Asia",2022-04-17,0,0,0,0,2022-06-25,NA,NA,870480.6582,85341.241,0
"94","TWN","Taiwan, Province of China","Asia","Eastern Asia",2022-04-17,0,0,0,0,2022-06-20,NA,NA,389462.3222,23893.394,0
"95","UKR","Ukraine","Europe","Eastern Europe",2022-04-17,0,0,0,0,2022-08-26,NA,NA,179400,39701.739,0
"96","URY","Uruguay","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-07-20,NA,NA,28600,3422.794,0
"97","USA","United States of America","Americas","Northern America",2022-04-17,0,0,0,0,2022-04-29,NA,NA,4500000,338289.857,0
"98","VEN","Venezuela (Bolivarian Republic of)","Americas","Latin America and the Caribbean",2022-04-17,0,0,0,0,2022-05-28,NA,NA,210800,28301.696,0
"99","VNM","Viet Nam","Asia","South-eastern Asia",2022-04-17,0,0,0,0,2022-09-18,NA,NA,256000,98186.856,0
"100","ZAF","South Africa","Africa","Sub-Saharan Africa",2022-04-17,0,0,0,0,2022-06-16,2022-06-14,2022-06-19,309700,59893.885,0
"101","ABW","Aruba","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-09,NA,NA,3587.1965,106.445,0
"102","AND","Andorra","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-06-20,NA,NA,442.154634200044,79.824,0
"103","ARE","United Arab Emirates","Asia","Western Asia",2022-04-18,0,0,0,0,2022-05-12,NA,NA,96299.5158,9441.129,0
"104","ARG","Argentina","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-03,NA,NA,205600,45510.318,0
"105","AUS","Australia","Oceania","Australia and New Zealand",2022-04-18,0,0,0,0,2022-05-08,NA,NA,263500,26177.413,0
"106","AUT","Austria","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-14,NA,NA,81122.0291128488,8939.617,0
"107","BEL","Belgium","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-10,NA,NA,105771.051802032,11655.93,0
"108","BEN","Benin","Africa","Sub-Saharan Africa",2022-04-18,0,0,0,0,2022-06-08,2022-06-06,2022-06-11,5800,13352.864,0
"109","BGR","Bulgaria","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-06-10,NA,NA,57800,6781.953,0
"110","BHR","Bahrain","Asia","Western Asia",2022-04-18,0,0,0,0,2022-09-10,2022-09-08,2022-09-13,15016.7766,1472.233,0
"111","BHS","Bahamas","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-18,2022-06-16,2022-06-21,2800,409.984,0
"112","BIH","Bosnia and Herzegovina","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-07-02,NA,NA,6900,3233.526,0
"113","BMU","Bermuda","Americas","Northern America",2022-04-18,0,0,0,0,2022-07-16,NA,NA,718.819322375309,64.184,0
"114","BOL","Bolivia","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-26,2022-07-24,2022-07-29,35500,12224.11,0
"115","BRA","Brazil","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-13,NA,NA,2000000,215313.498,0
"116","BRB","Barbados","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-04,NA,NA,2600,281.635,0
"117","CAN","Canada","Americas","Northern America",2022-04-18,0,0,0,0,2022-04-28,NA,NA,349800,38454.327,0
"118","CHE","Switzerland","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-13,2022-05-11,2022-05-16,80000,8740.472,0
"119","CHL","Chile","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-02,NA,NA,122600,19603.733,0
"120","CHN","China","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-09-09,NA,NA,23241963.5931,1425887.337,0
"121","COL","Colombia","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-30,NA,NA,356700,51874.024,0
"122","CRI","Costa Rica","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-13,NA,NA,10100,5180.829,0
"123","CUB","Cuba","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-17,NA,NA,279200,11212.191,0
"124","CUW","Curaçao","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-09,NA,NA,6442.1931,191.163,0
"125","CYP","Cyprus","Asia","Western Asia",2022-04-18,0,0,0,0,2022-07-26,NA,NA,12765.1776,1251.488,0
"126","CZE","Czechia","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-05-09,NA,NA,221423.1046,10493.986,0
"127","DEU","Germany","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-02,NA,NA,750000,83369.843,0
"128","DNK","Denmark","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-16,NA,NA,50000,5882.261,0
"129","DOM","Dominican Republic","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-27,NA,NA,142000,11228.821,0
"130","ECU","Ecuador","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-04,NA,NA,89400,18001,0
"131","EGY","Egypt","Africa","Northern Africa",2022-04-18,0,0,0,0,2022-09-01,2022-08-30,2022-09-04,64300,110990.103,0
"132","ESP","Spain","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-04-26,NA,NA,890200,47558.63,0
"133","EST","Estonia","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-06-16,NA,NA,9000,1326.062,0
"134","FIN","Finland","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-15,NA,NA,49809.6147387589,5540.745,0
"135","FRA","France","Europe","Western Europe",2022-04-18,0,0,0,0,2022-05-07,NA,NA,330000,64626.628,0
"136","GBR","The United Kingdom","Europe","Northern Europe",2022-04-18,0,1,0.0714285714285714,0.142857142857143,2022-04-17,NA,NA,606884.831116308,67508.936,0.000000235394156407519
"137","GEO","Georgia","Asia","Western Asia",2022-04-18,0,0,0,0,2022-05-29,NA,NA,18500,3744.385,0
"138","GRC","Greece","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-06-02,NA,NA,94000,10384.971,0
"139","GTM","Guatemala","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-16,NA,NA,116500,17843.908,0
"140","GUM","Guam","Oceania","Micronesia",2022-04-18,0,0,0,0,2022-09-05,2022-09-03,2022-09-08,2799.9162,171.774,0
"141","GUY","Guyana","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-15,NA,NA,3300,808.726,0
"142","HKG","Hong Kong","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-08-30,NA,NA,122068.4995,7488.865,0
"143","HND","Honduras","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-26,NA,NA,40900,10432.86,0
"144","HRV","Croatia","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-06-19,NA,NA,29500,4030.358,0
"145","HUN","Hungary","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-05-26,NA,NA,210310.1988,9967.308,0
"146","IDN","Indonesia","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-08-11,NA,NA,754300,275501.339,0
"147","IND","India","Asia","Southern Asia",2022-04-18,0,0,0,0,2022-07-08,2022-07-06,2022-07-11,23099922.7199,1417173.173,0
"148","IRL","Ireland","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-16,NA,NA,86500,5023.109,0
"149","IRN","Iran","Asia","Southern Asia",2022-04-18,0,0,0,0,2022-08-10,2022-08-08,2022-08-13,1443374.291,88550.57,0
"150","ISL","Iceland","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-06-07,2022-06-05,2022-06-10,3352.24875471953,372.899,0
"151","ISR","Israel","Asia","Western Asia",2022-04-18,0,0,0,0,2022-05-16,NA,NA,92190.7518,9038.309,0
"152","ITA","Italy","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-05-09,NA,NA,327015.593312345,59037.474,0
"153","JAM","Jamaica","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-03,NA,NA,42400,2827.377,0
"154","JOR","Jordan","Asia","Western Asia",2022-04-18,0,0,0,0,2022-09-02,2022-08-31,2022-09-05,115115.8638,11285.869,0
"155","JPN","Japan","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-07-15,NA,NA,700000,123951.692,0
"156","KOR","Republic of Korea","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-06-19,NA,NA,844597.703,51815.81,0
"157","LBN","Lebanon","Asia","Western Asia",2022-04-18,0,0,0,0,2022-06-06,NA,NA,16500,5489.739,0
"158","LTU","Lithuania","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-07-26,NA,NA,24722.1592151231,2750.055,0
"159","LUX","Luxembourg","Europe","Western Europe",2022-04-18,0,0,0,0,2022-06-05,NA,NA,5876.59906810905,647.599,0
"160","LVA","Latvia","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-24,NA,NA,16636.7904182378,1850.651,0
"161","MAF","Saint Martin","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-22,NA,NA,1071.3567,31.791,0
"162","MAR","Morocco","Africa","Northern Africa",2022-04-18,0,0,0,0,2022-05-26,NA,NA,42000,37457.971,0
"163","MCO","Monaco","Europe","Western Europe",2022-04-18,0,0,0,0,2022-07-15,2022-07-13,2022-07-18,330.935797329627,36.469,0
"164","MDA","Republic of Moldova","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-08-06,NA,NA,14600,3272.996,0
"165","MEX","Mexico","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-20,NA,NA,1200000,127504.125,0
"166","MLT","Malta","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-05-15,NA,NA,2953.93460931555,533.286,0
"167","MNE","Montenegro","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-07-26,2022-07-24,2022-07-29,3473.48181403377,627.082,0
"168","MTQ","Martinique","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-09,2022-07-07,2022-07-12,12384.9859,367.507,0
"169","NCL","New Caledonia","Oceania","Melanesia",2022-04-18,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,4726.185,289.95,0
"170","NLD","Netherlands","Europe","Western Europe",2022-04-18,0,0,0,0,2022-04-27,NA,NA,230000,17564.014,0
"171","NOR","Norway","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-23,NA,NA,48852.8773220059,5434.319,0
"172","NZL","New Zealand","Oceania","Australia and New Zealand",2022-04-18,0,0,0,0,2022-07-06,NA,NA,37500,5185.288,0
"173","PAN","Panama","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-28,NA,NA,29600,4408.581,0
"174","PER","Peru","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-15,NA,NA,260000,34049.588,0
"175","PHL","Philippines","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-07-12,NA,NA,678100,115559.009,0
"176","POL","Poland","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-05-16,NA,NA,840985.7595,39857.145,0
"177","PRI","Puerto Rico","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-23,2022-06-21,2022-06-26,109606.1159,3252.407,0
"178","PRT","Portugal","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-04-22,NA,NA,56891.5433578001,10270.865,0
"179","PRY","Paraguay","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-19,2022-08-17,2022-08-22,27700,6780.744,0
"180","QAT","Qatar","Asia","Western Asia",2022-04-18,0,0,0,0,2022-07-09,NA,NA,27490.2444,2695.122,0
"181","ROU","Romania","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-06-02,NA,NA,10500,19659.267,0
"182","RUS","Russia","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,3053450.9254,144713.314,0
"183","SAU","Saudi Arabia","Asia","Western Asia",2022-04-18,0,0,0,0,2022-07-03,NA,NA,371369.964,36408.82,0
"184","SDN","Sudan","Africa","Northern Africa",2022-04-18,0,0,0,0,2022-07-09,NA,NA,132000,46874.204,0
"185","SGP","Singapore","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-06-14,NA,NA,97403.7307,5975.689,0
"186","SLV","El Salvador","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-22,NA,NA,54100,6336.392,0
"187","SMR","San Marino","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-09-15,NA,NA,186.446745179062,33.66,0
"188","SRB","Serbia","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-06-03,NA,NA,40000,7221.365,0
"189","SVK","Slovakia","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-06-23,NA,NA,119076.8583,5643.453,0
"190","SVN","Slovenia","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-05-18,NA,NA,11742.0681547048,2119.844,0
"191","SWE","Sweden","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-05,NA,NA,100000,10549.347,0
"192","THA","Thailand","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-07-09,NA,NA,527900,71697.03,0
"193","TUR","Türkiye","Asia","Western Asia",2022-04-18,0,0,0,0,2022-06-25,NA,NA,870480.6582,85341.241,0
"194","TWN","Taiwan, Province of China","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-06-20,NA,NA,389462.3222,23893.394,0
"195","UKR","Ukraine","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-08-26,NA,NA,179400,39701.739,0
"196","URY","Uruguay","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-20,NA,NA,28600,3422.794,0
"197","USA","United States of America","Americas","Northern America",2022-04-18,0,0,0,0,2022-04-29,NA,NA,4500000,338289.857,0
"198","VEN","Venezuela (Bolivarian Republic of)","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-28,NA,NA,210800,28301.696,0
"199","VNM","Viet Nam","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-09-18,NA,NA,256000,98186.856,0
"200","ZAF","South Africa","Africa","Sub-Saharan Africa",2022-04-18,0,0,0,0,2022-06-16,2022-06-14,2022-06-19,309700,59893.885,0
"201","ABW","Aruba","Americas","Latin America and the Caribbean",2022-04-19,0,0,0,0,2022-08-09,NA,NA,3587.1965,106.445,0
"202","AND","Andorra","Europe","Southern Europe",2022-04-19,0,0,0,0,2022-06-20,NA,NA,442.154634200044,79.824,0
"203","ARE","United Arab Emirates","Asia","Western Asia",2022-04-19,0,0,0,0,2022-05-12,NA,NA,96299.5158,9441.129,0
"204","ARG","Argentina","Americas","Latin America and the Caribbean",2022-04-19,0,0,0,0,2022-05-03,NA,NA,205600,45510.318,0
"205","AUS","Australia","Oceania","Australia and New Zealand",2022-04-19,0,0,0,0,2022-05-08,NA,NA,263500,26177.413,0
"206","AUT","Austria","Europe","Western Europe",2022-04-19,0,0,0,0,2022-05-14,NA,NA,81122.0291128488,8939.617,0
"207","BEL","Belgium","Europe","Western Europe",2022-04-19,0,0,0,0,2022-05-10,NA,NA,105771.051802032,11655.93,0
"208","BEN","Benin","Africa","Sub-Saharan Africa",2022-04-19,0,0,0,0,2022-06-08,2022-06-06,2022-06-11,5800,13352.864,0
